Movimentação,Original_473,Original_269,Zero,Maçã-Verde,Tangerina,Citrus,Açaí-Guaraná,Pêssego,TARGET
17533,22,65,22,14,3,26,43,18,REABASTECER
18412,11,56,16,14,43,20,37,15,NORMAL
19600,86,51,8,11,41,20,35,12,NORMAL
20303,76,47,65,11,37,14,32,10,NORMAL
17085,68,42,60,6,35,13,26,5,REABASTECER
18324,57,35,55,43,31,9,22,43,NORMAL
17113,45,33,50,39,25,5,16,39,REABASTECER
19756,34,28,41,39,22,43,13,34,NORMAL
17160,22,24,31,35,18,40,8,29,NORMAL
18058,9,16,26,33,13,38,4,24,REABASTECER
19887,86,12,22,29,8,37,43,20,REABASTECER
18556,75,10,12,25,2,35,39,14,REABASTECER
17508,67,0,3,21,43,34,33,9,REABASTECER
19104,59,65,65,20,38,34,27,3,NORMAL
18390,50,63,56,18,32,34,25,43,NORMAL
20813,39,59,48,12,30,30,20,37,NORMAL
19092,26,50,44,7,27,30,14,34,REABASTECER
17319,15,45,39,3,25,25,8,29,REABASTECER
19550,7,35,31,43,21,20,2,27,REABASTECER
17512,86,27,21,39,17,19,43,21,NORMAL
17677,78,17,11,35,11,17,38,19,REABASTECER
19104,65,12,7,34,9,16,32,14,REABASTECER
20933,57,3,65,28,4,13,30,10,REABASTECER
18628,47,65,55,24,43,12,25,4,NORMAL
18784,37,62,46,21,40,9,21,43,NORMAL
18619,28,60,37,15,36,9,16,39,NORMAL
17226,16,52,30,10,31,4,12,33,NORMAL
20438,8,43,25,10,29,43,9,29,NORMAL
18049,86,39,19,4,24,41,3,24,REABASTECER
20137,78,33,9,43,20,36,43,21,NORMAL
19250,67,27,65,43,17,33,37,18,NORMAL
20205,57,21,61,43,12,33,31,16,NORMAL
18141,45,17,57,38,9,29,27,10,NORMAL
19471,34,15,53,32,5,29,21,6,REABASTECER
18748,23,13,45,31,43,25,15,43,NORMAL
19002,10,6,39,26,39,24,13,38,REABASTECER
19218,86,65,35,25,35,22,7,36,NORMAL
17261,74,56,25,25,33,21,3,30,REABASTECER
20697,63,50,16,24,30,15,43,24,NORMAL
17359,54,40,11,20,28,12,40,21,NORMAL
17176,47,38,2,20,23,6,36,18,NORMAL
17132,35,32,65,18,20,43,34,12,NORMAL
20831,28,25,59,18,14,40,28,8,NORMAL
17088,21,18,52,14,9,36,24,5,REABASTECER
20088,8,14,43,9,6,32,21,43,REABASTECER
20165,86,5,34,5,43,30,18,40,REABASTECER
17042,79,65,28,43,37,29,12,34,NORMAL
18476,70,61,20,38,35,26,10,30,NORMAL
17278,62,51,16,36,33,26,6,28,REABASTECER
18729,49,41,11,34,30,26,43,22,NORMAL
20692,37,32,1,33,24,25,38,18,NORMAL
19635,29,27,65,32,22,23,34,12,NORMAL
17329,22,18,61,27,19,19,29,6,REABASTECER
20208,11,10,56,25,17,14,25,43,NORMAL
17420,86,7,50,19,13,13,22,41,NORMAL
17015,78,65,43,13,11,8,20,39,REABASTECER
20163,71,61,37,12,6,7,15,36,REABASTECER
20158,58,59,28,10,43,6,12,33,NORMAL
20434,48,50,19,7,38,43,10,29,REABASTECER
18822,40,45,13,3,35,42,7,26,REABASTECER
18530,27,42,5,43,29,36,3,23,REABASTECER
20111,16,35,65,42,23,35,43,21,NORMAL
17011,8,27,58,37,17,35,40,17,NORMAL
17663,86,17,51,35,15,34,38,14,NORMAL
20111,75,7,43,30,13,33,35,8,NORMAL
17572,68,65,36,26,11,32,32,4,NORMAL
17319,55,55,27,25,6,28,29,43,REABASTECER
20785,48,49,21,23,43,28,23,38,NORMAL
19776,37,46,16,21,38,22,21,33,NORMAL
17943,25,42,12,19,33,18,15,31,NORMAL
19451,13,35,7,13,27,17,9,29,NORMAL
18312,6,32,65,12,24,13,4,26,REABASTECER
20466,86,28,57,12,22,8,43,24,NORMAL
20233,76,20,51,9,17,8,41,22,REABASTECER
18158,65,10,47,7,12,5,37,16,REABASTECER
18265,55,7,38,6,6,43,35,11,REABASTECER
20016,42,65,32,43,43,39,30,8,NORMAL
19850,33,63,24,41,40,33,24,6,NORMAL
18797,21,59,14,41,36,27,21,43,NORMAL
20739,14,50,7,40,33,24,17,37,NORMAL
17106,4,42,65,34,31,19,14,35,REABASTECER
17407,86,33,57,32,28,13,8,32,NORMAL
20012,74,24,53,26,25,13,5,30,REABASTECER
17832,63,21,45,23,21,13,43,25,NORMAL
